ACTUAL;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1441723317.png;Walker Zimmerman;Defensor;.png;Walker Zimmerman.png;United States;1.441.723.317
1441723033.png;Brenden Aaronson;Mediocampista;.png;Brenden Aaronson.png;United States;1.441.723.033
1441721412.png;Kellyn Acosta;Mediocampista;.png;Kellyn Acosta.png;United States;1.441.721.412
1441722078.png;Tyler Adams;Mediocampista;.png;Tyler Adams.png;United States;1.441.722.078
1441723161.png;Luca de la Torre;Mediocampista;.png;Luca de la Torre.png;United States;1.441.723.161
1441722790.png;Weston McKennie;Mediocampista;.png;Weston McKennie.png;United States;1.441.722.790
1441721484.png;Yunus Musah;Mediocampista;.png;Yunus Musah.png;United States;1.441.721.484
1441723283.png;Cristian Roldan;Mediocampista;.png;Cristian Roldan.png;United States;1.441.723.283
1441723343.png;Jesús Ferreira;Delantero;.png;Jesús Ferreira.png;United States;1.441.723.343
1441722238.png;Jordan Morris;Delantero;.png;Jordan Morris.png;United States;1.441.722.238
1441721640.png;Christian Pulisic;Delantero;.png;Christian Pulisic.png;United States;1.441.721.640
1441723620.png;Gio Reyna;Delantero;.png;Gio Reyna.png;United States;1.441.723.620
1441732346.png;Josh Sargent;Delantero;.png;Josh Sargent.png;United States;1.441.732.346
1441723369.png;Tim Weah;Delantero;.png;Tim Weah.png;United States;1.441.723.369
1441723126.png;Haji Wright;Delantero;.png;Haji Wright.png;United States;1.441.723.126
1441720508.png;DT Gregg Berhalter;DT;.png;DT Gregg Berhalter.png;United States;1.441.720.508
