ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1442833831.png;Dominik Livaković;Portero;.png;Dominik Livaković.png;Croatia;1.442.833.831
1442835074.png;Ivan Perišić;Delantero;.png;Ivan Perišić.png;Croatia;1.442.835.074
1442834167.png;Josip Juranović;Defensor;.png;Josip Juranović.png;Croatia;1.442.834.167
1442834883.png;Josip Stanišić;Defensor;.png;Josip Stanišić.png;Croatia;1.442.834.883
1442834935.png;Josip Šutalo;Defensor;.png;Josip Šutalo.png;Croatia;1.442.834.935
1442834258.png;Joško Gvardiol;Defensor;.png;Joško Gvardiol.png;Croatia;1.442.834.258
1442834235.png;Kristijan Jakić;Delantero;.png;Kristijan Jakić.png;Croatia;1.442.834.235
1442833911.png;Lovro Majer;Mediocampo;.png;Lovro Majer.png;Croatia;1.442.833.911
1442835091.png;Luka Modrić;Mediocampo;.png;Luka Modrić.png;Croatia;1.442.835.091
1442835048.png;Marcelo Brozović;Mediocampo;.png;Marcelo Brozović.png;Croatia;1.442.835.048
1442834160.png;Mario Pašalić;Delantero;.png;Mario Pašalić.png;Croatia;1.442.834.160
1442834999.png;Marko Livaja;Delantero;.png;Marko Livaja.png;Croatia;1.442.834.999
1442835025.png;Mateo Kovačić;Mediocampo;.png;Mateo Kovačić.png;Croatia;1.442.835.025
1442834297.png;Mislav Oršić;Delantero;.png;Mislav Oršić.png;Croatia;1.442.834.297
1442834984.png;Nikola Vlašić;Delantero;.png;Nikola Vlašić.png;Croatia;1.442.834.984
1442833688.png;DT Ziako Dalić ;DT;.png;DT Ziako Dalić .png;Croatia;1.442.833.688
1442833881.png;Ivo GRBIC;Portero;.png;Ivo GRBIC.png;Croatia;1.442.833.881
1442833849.png;Ivica IVUSIC;Portero;.png;Ivica IVUSIC.png;Croatia;1.442.833.849
1442834365.png;Martin Erlic;Defensor;.png;Martin Erlic.png;Croatia;1.442.834.365
1442834948.png;Luka Sucic;Mediocampo;.png;Luka Sucic.png;Croatia;1.442.834.948
1442835060.png;Domagoj Vida;Defensor;.png;Domagoj Vida.png;Croatia;1.442.835.060
1441895603.png;Alireza Beiranvand;Portero;.png;Alireza Beiranvand.png;Iran;1.441.895.603
1441895723.png;Amir Abedzadeh;Portero;.png;Amir Abedzadeh.png;Iran;1.441.895.723
1441895656.png;Hossein Hosseini;Portero;.png;Hossein Hosseini.png;Iran;1.441.895.656
1441895551.png;Payam Niazmand;Portero;.png;Payam Niazmand.png;Iran;1.441.895.551
1441896163.png;Majid Hosseini;Defensor;.png;Majid Hosseini.png;Iran;1.441.896.163
1441895762.png;Hossein Kanaani;Defensor;.png;Hossein Kanaani.png;Iran;1.441.895.762
1441895856.png;Shoja Khalilzadeh;Defensor;.png;Shoja Khalilzadeh.png;Iran;1.441.895.856
1441896101.png;Morteza Pouraliganji;Defensor;.png;Morteza Pouraliganji.png;Iran;1.441.896.101
1441896039.png;Sadegh Moharrami;Defensor;.png;Sadegh Moharrami.png;Iran;1.441.896.039
1441897280.png;Milad Mohammadi;Defensor;.png;Milad Mohammadi.png;Iran;1.441.897.280
1441895976.png;Ehsan Haji Safi;Defensor;.png;Ehsan Haji Safi.png;Iran;1.441.895.976
1441895813.png;Ramin Rezaeian;Defensor;.png;Ramin Rezaeian.png;Iran;1.441.895.813
1441897098.png;Abolfazl Jalali;Defensor;.png;Abolfazl Jalali.png;Iran;1.441.897.098
1441897412.png;Saeid Ezatolahi;Mediocampo;.png;Saeid Ezatolahi.png;Iran;1.441.897.412
1441895939.png;Ali Karimi;Mediocampo;.png;Ali Karimi.png;Iran;1.441.895.939
1441897340.png;Ahmad Nourollahi;Mediocampo;.png;Ahmad Nourollahi.png;Iran;1.441.897.340
1441896143.png;Rouzbeh Cheshmi;Mediocampo;.png;Rouzbeh Cheshmi.png;Iran;1.441.896.143
1441897490.png;Saman Ghoddos;Mediocampo;.png;Saman Ghoddos.png;Iran;1.441.897.490
1441897539.png;Vahid Amiri;Delantero;.png;Vahid Amiri.png;Iran;1.441.897.539
1441897773.png;Alireza Jahanbakhsh;Delantero;.png;Alireza Jahanbakhsh.png;Iran;1.441.897.773
1441896073.png;Ali Gholizadeh;Delantero;.png;Ali Gholizadeh.png;Iran;1.441.896.073
1441897578.png;Mehdi Torabi;Delantero;.png;Mehdi Torabi.png;Iran;1.441.897.578
1441897616.png;Sardar Azmoun;Delantero;.png;Sardar Azmoun.png;Iran;1.441.897.616
1441897703.png;Mehdi Taremi;Delantero;.png;Mehdi Taremi.png;Iran;1.441.897.703
1441897828.png;Karim Ansarifard;Delantero;.png;Karim Ansarifard.png;Iran;1.441.897.828
1441895449.png;DT Carlos Queiroz;DT;.png;DT Carlos Queiroz.png;Iran;1.441.895.449
1442266365.png;Kasper Schmeichel;Portero;.png;Kasper Schmeichel.png;Denmark;1.442.266.365
1442266297.png;Frederik Ronnow;Portero;.png;Frederik Ronnow.png;Denmark;1.442.266.297
1442266324.png;Oliver Christensen;Portero;.png;Oliver Christensen.png;Denmark;1.442.266.324
1442266382.png;Simon Kjaer;Defensor;.png;Simon Kjaer.png;Denmark;1.442.266.382
1442266732.png;Andreas Christensen;Defensor;.png;Andreas Christensen.png;Denmark;1.442.266.732
1442266709.png;Jens Stryger Larsen;Defensor;.png;Jens Stryger Larsen.png;Denmark;1.442.266.709
1442266769.png;Daniel Wass;Defensor;.png;Daniel Wass.png;Denmark;1.442.266.769
1442266412.png;Joakim Maehle;Defensor;.png;Joakim Maehle.png;Denmark;1.442.266.412
1442266519.png;Joachim Andersen;Defensor;.png;Joachim Andersen.png;Denmark;1.442.266.519
1442266537.png;Rasmus Kristensen;Defensor;.png;Rasmus Kristensen.png;Denmark;1.442.266.537
1442266887.png;Victor Nelsson;Defensor;.png;Victor Nelsson.png;Denmark;1.442.266.887
1442266981.png;Alexander Bah;Defensor;.png;Alexander Bah.png;Denmark;1.442.266.981
1442267640.png;Christian Eriksen;Mediocampo;.png;Christian Eriksen.png;Denmark;1.442.267.640
1442266831.png;Thomas Delaney;Mediocampo;.png;Thomas Delaney.png;Denmark;1.442.266.831
